Category,Subcategory,Sub-subcategory,Octopart ID,URL Path,Number of parts
Electromechanical,Motors and Drives,Motor Drives,4881,/electronic-parts/electromechanical/motors-and-drives/motor-drives,38432
Electromechanical,Motors and Drives,Stepper Motors,4880,/electronic-parts/electromechanical/motors-and-drives/stepper-motors,1635
Electromechanical,Relays,,4850,/electronic-parts/electromechanical/relays,211922
Electromechanical,Relays,Power Relays,4860,/electronic-parts/electromechanical/relays/power-relays,42231
Electromechanical,Relays,Signal Relays,4858,/electronic-parts/electromechanical/relays/signal-relays,15143
Electromechanical,Relays,Solid State Relays,4863,/electronic-parts/electromechanical/relays/solid-state-relays,21227
Electromechanical,Relays,Time Delay Relays,4862,/electronic-parts/electromechanical/relays/time-delay-relays,18099
Electromechanical,Switches,,4809,/electronic-parts/electromechanical/switches,1055827
Electromechanical,Switches,DIP Switches,4816,/electronic-parts/electromechanical/switches/dip-switches,11077
Electromechanical,Switches,Encoders,4204,/electronic-parts/electromechanical/switches/encoders,92906
Electromechanical,Switches,Keylock Switches,4821,/electronic-parts/electromechanical/switches/keylock-switches,2763
Electromechanical,Switches,Pushbutton Switches,4811,/electronic-parts/electromechanical/switches/pushbutton-switches,260560
Electromechanical,Switches,Rocker Switches,4814,/electronic-parts/electromechanical/switches/rocker-switches,120952
Electromechanical,Switches,Rotary Switches,4815,/electronic-parts/electromechanical/switches/rotary-switches,49380
Electromechanical,Switches,Slide Switches,4819,/electronic-parts/electromechanical/switches/slide-switches,3796
Electromechanical,Switches,Snap Action / Limit Switches,4817,/electronic-parts/electromechanical/switches/snap-action-limit-switches,63517
Electromechanical,Switches,Switch Accessories,4822,/electronic-parts/electromechanical/switches/switch-accessories,47482
Electromechanical,Switches,Tactile Switches,4812,/electronic-parts/electromechanical/switches/tactile-switches,17624
Electromechanical,Switches,Toggle Switches,4810,/electronic-parts/electromechanical/switches/toggle-switches,49986
Electromechanical,Thermal Management,,6316,/electronic-parts/electromechanical/thermal-management,243650
Electromechanical,Thermal Management,Fans and Blowers,4792,/electronic-parts/electromechanical/thermal-management/fans-and-blowers,48888
Electromechanical,Thermal Management,Heat Sinks,4784,/electronic-parts/electromechanical/thermal-management/heat-sinks,118501
Industrial Control,,,4780,/electronic-parts/industrial-control,1779635
Industrial Control,Human Machine Interface (HMI),,6405,/electronic-parts/industrial-control/human-machine-interface-hmi,18975
Industrial Control,Hydraulics,,6142,/electronic-parts/industrial-control/hydraulics,6317
Industrial Control,Industrial Actuators,,6407,/electronic-parts/industrial-control/industrial-actuators,92544
Industrial Control,Industrial Contactors,,6406,/electronic-parts/industrial-control/industrial-contactors,71847
Industrial Control,Industrial Lighting,,6404,/electronic-parts/industrial-control/industrial-lighting,15565
Industrial Control,Industrial Relays,,6387,/electronic-parts/industrial-control/industrial-relays,9107
Industrial Control,Panel Meters,,5092,/electronic-parts/industrial-control/panel-meters,19624
Industrial Control,Pneumatics,,5737,/electronic-parts/industrial-control/pneumatics,354367
Industrial Control,Programmable Logic Controllers (PLC),,6314,/electronic-parts/industrial-control/programmable-logic-controllers-plc,2035
Industrial Control,Temperature Controllers,,4781,/electronic-parts/industrial-control/temperature-controllers,2819
Integrated Circuits (ICs),,,4215,/electronic-parts/integrated-circuits-ics,2731728
Integrated Circuits (ICs),Clock and Timing,,4260,/electronic-parts/integrated-circuits-ics/clock-and-timing,708123
Integrated Circuits (ICs),Clock and Timing,"Clock Buffers, Drivers",4261,/electronic-parts/integrated-circuits-ics/clock-and-timing/clock-buffers-drivers,20102
Integrated Circuits (ICs),Clock and Timing,"Clock Generators, PLLs, Frequency Synthesizers",4263,/electronic-parts/integrated-circuits-ics/clock-and-timing/clock-generators-plls-frequency-synthesizers,49673
Integrated Circuits (ICs),Clock and Timing,Controlled Oscillators,6347,/electronic-parts/integrated-circuits-ics/clock-and-timing/controlled-oscillators,554647
Integrated Circuits (ICs),Clock and Timing,Delay Lines,6393,/electronic-parts/integrated-circuits-ics/clock-and-timing/delay-lines,20204
Integrated Circuits (ICs),Clock and Timing,Real Time Clocks,4264,/electronic-parts/integrated-circuits-ics/clock-and-timing/real-time-clocks,3045
Integrated Circuits (ICs),Clock and Timing,Timers and Oscillators,5411,/electronic-parts/integrated-circuits-ics/clock-and-timing/timers-and-oscillators,13710
Integrated Circuits (ICs),Data Converter ICs,,4216,/electronic-parts/integrated-circuits-ics/data-converter-ics,52566
Integrated Circuits (ICs),Data Converter ICs,Analog Front End (AFE),6392,/electronic-parts/integrated-circuits-ics/data-converter-ics/analog-front-end-afe,1497
Integrated Circuits (ICs),Data Converter ICs,Analog to Digital Converters (ADCs),4217,/electronic-parts/integrated-circuits-ics/data-converter-ics/analog-to-digital-converters-adcs,31118
Integrated Circuits (ICs),Data Converter ICs,Digital Potentiometers,5378,/electronic-parts/integrated-circuits-ics/data-converter-ics/digital-potentiometers,6612
Integrated Circuits (ICs),Data Converter ICs,Digital to Analog Converters (DACs),4218,/electronic-parts/integrated-circuits-ics/data-converter-ics/digital-to-analog-converters-dacs,10004
Integrated Circuits (ICs),Data Converter ICs,Touch Screen Controllers,5413,/electronic-parts/integrated-circuits-ics/data-converter-ics/touch-screen-controllers,957
Integrated Circuits (ICs),Embedded Processors and Controllers,,4267,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers,348257
Integrated Circuits (ICs),Embedded Processors and Controllers,CPLDs - Complex Programming Logic Devices,4270,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/cplds-complex-programming-logic-devices,15253
Integrated Circuits (ICs),Embedded Processors and Controllers,DSPs - Digital Signal Processors,4302,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/dsps-digital-signal-processors,9004
Integrated Circuits (ICs),Embedded Processors and Controllers,FPGAs - Field Programmable Gate Arrays,4271,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/fpgas-field-programmable-gate-arrays,59599
Integrated Circuits (ICs),Embedded Processors and Controllers,Microcontrollers,4300,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/microcontrollers,180046
Integrated Circuits (ICs),Embedded Processors and Controllers,Microprocessors,4299,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/microprocessors,21654
Integrated Circuits (ICs),Embedded Processors and Controllers,Single Board Computers (SBCs),6249,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/single-board-computers-sbcs,7451
Integrated Circuits (ICs),Embedded Processors and Controllers,SPLD - Simple Programmable Logic Devices,6344,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/spld-simple-programmable-logic-devices,1013
Integrated Circuits (ICs),Embedded Processors and Controllers,System on Chip (SoC),6388,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/system-on-chip-soc,17756
Integrated Circuits (ICs),Embedded Processors and Controllers,System on Modules - SOM,6341,/electronic-parts/integrated-circuits-ics/embedded-processors-and-controllers/system-on-modules-som,184
Integrated Circuits (ICs),Interface ICs,,5414,/electronic-parts/integrated-circuits-ics/interface-ics,77431
Integrated Circuits (ICs),Interface ICs,CAN Transceivers,6358,/electronic-parts/integrated-circuits-ics/interface-ics/can-transceivers,2223
Integrated Circuits (ICs),Interface ICs,CODECs,5402,/electronic-parts/integrated-circuits-ics/interface-ics/codecs,1615
Integrated Circuits (ICs),Interface ICs,Digital Isolators,6362,/electronic-parts/integrated-circuits-ics/interface-ics/digital-isolators,9515
Integrated Circuits (ICs),Interface ICs,Display Drivers,6395,/electronic-parts/integrated-circuits-ics/interface-ics/display-drivers,8516
Integrated Circuits (ICs),Interface ICs,Ethernet Controller,6471,/electronic-parts/integrated-circuits-ics/interface-ics/ethernet-controller,1590
Integrated Circuits (ICs),Interface ICs,Ethernet Interface ICs,5491,/electronic-parts/integrated-circuits-ics/interface-ics/ethernet-interface-ics,2725
Integrated Circuits (ICs),Interface ICs,I/O Expanders,6363,/electronic-parts/integrated-circuits-ics/interface-ics/io-expanders,2077
Integrated Circuits (ICs),Interface ICs,RS-232 / RS-422 / RS-485 Interface ICs,5456,/electronic-parts/integrated-circuits-ics/interface-ics/rs-232-rs-422-rs-485-interface-ics,8145
Integrated Circuits (ICs),Interface ICs,Sensor and Detector Interfaces,6394,/electronic-parts/integrated-circuits-ics/interface-ics/sensor-and-detector-interfaces,1441
Integrated Circuits (ICs),Interface ICs,"Signal Buffers, Repeaters, Splitters",6472,/electronic-parts/integrated-circuits-ics/interface-ics/signal-buffers-repeaters-splitters,1450
Integrated Circuits (ICs),Interface ICs,UART Interface ICs,5466,/electronic-parts/integrated-circuits-ics/interface-ics/uart-interface-ics,2049
Integrated Circuits (ICs),Interface ICs,USB Interface ICs,5467,/electronic-parts/integrated-circuits-ics/interface-ics/usb-interface-ics,1854
Integrated Circuits (ICs),Linear ICs,,4251,/electronic-parts/integrated-circuits-ics/linear-ics,102715
Integrated Circuits (ICs),Linear ICs,Active Filters,6367,/electronic-parts/integrated-circuits-ics/linear-ics/active-filters,1366
Integrated Circuits (ICs),Linear ICs,Amplifiers - Audio,5312,/electronic-parts/integrated-circuits-ics/linear-ics/amplifiers-audio,6483
Integrated Circuits (ICs),Linear ICs,Amplifiers - Current Sense,6382,/electronic-parts/integrated-circuits-ics/linear-ics/amplifiers-current-sense,1949
Integrated Circuits (ICs),Linear ICs,"Amplifiers - Op Amps, Buffer, Instrumentation",4252,/electronic-parts/integrated-circuits-ics/linear-ics/amplifiers-op-amps-buffer-instrumentation,61285
Integrated Circuits (ICs),Linear ICs,Amplifiers - Video,6364,/electronic-parts/integrated-circuits-ics/linear-ics/amplifiers-video,5570
Integrated Circuits (ICs),Linear ICs,Analog Switches and Multiplexers,6350,/electronic-parts/integrated-circuits-ics/linear-ics/analog-switches-and-multiplexers,10656
Integrated Circuits (ICs),Linear ICs,Comparators,5363,/electronic-parts/integrated-circuits-ics/linear-ics/comparators,4945
Integrated Circuits (ICs),Linear ICs,Programmable Gain Amplifiers,6383,/electronic-parts/integrated-circuits-ics/linear-ics/programmable-gain-amplifiers,396
Integrated Circuits (ICs),Logic ICs,,4273,/electronic-parts/integrated-circuits-ics/logic-ics,176958
Integrated Circuits (ICs),Logic ICs,"Buffers, Drivers and Transceivers",6337,/electronic-parts/integrated-circuits-ics/logic-ics/buffers-drivers-and-transceivers,50801
Integrated Circuits (ICs),Logic ICs,Counters,4291,/electronic-parts/integrated-circuits-ics/logic-ics/counters,11363
Integrated Circuits (ICs),Logic ICs,Decoders and Multiplexers,4287,/electronic-parts/integrated-circuits-ics/logic-ics/decoders-and-multiplexers,25747
Integrated Circuits (ICs),Logic ICs,Latches and Flip Flops,4286,/electronic-parts/integrated-circuits-ics/logic-ics/latches-and-flip-flops,11555
Integrated Circuits (ICs),Logic ICs,Logic Gates,4274,/electronic-parts/integrated-circuits-ics/logic-ics/logic-gates,52674
Integrated Circuits (ICs),Logic ICs,Multivibrators,6368,/electronic-parts/integrated-circuits-ics/logic-ics/multivibrators,3140
Integrated Circuits (ICs),Logic ICs,Shift Registers,4283,/electronic-parts/integrated-circuits-ics/logic-ics/shift-registers,7931
Integrated Circuits (ICs),Logic ICs,Voltage Level Shifters,6296,/electronic-parts/integrated-circuits-ics/logic-ics/voltage-level-shifters,4137
Integrated Circuits (ICs),Memory,,4293,/electronic-parts/integrated-circuits-ics/memory,308751
Integrated Circuits (ICs),Memory,EEPROM,4296,/electronic-parts/integrated-circuits-ics/memory/eeprom,34695
Integrated Circuits (ICs),Memory,FIFO,4290,/electronic-parts/integrated-circuits-ics/memory/fifo,25443
Integrated Circuits (ICs),Memory,Flash,5499,/electronic-parts/integrated-circuits-ics/memory/flash,57529
Integrated Circuits (ICs),Memory,Memory Cards,6401,/electronic-parts/integrated-circuits-ics/memory/memory-cards,10750
Integrated Circuits (ICs),Memory,RAM,4297,/electronic-parts/integrated-circuits-ics/memory/ram,135047
Integrated Circuits (ICs),Power Management ICs,,4305,/electronic-parts/integrated-circuits-ics/power-management-ics,685305
Integrated Circuits (ICs),Power Management ICs,AC-DC Converters,6356,/electronic-parts/integrated-circuits-ics/power-management-ics/ac-dc-converters,18882
Integrated Circuits (ICs),Power Management ICs,Battery Management,4308,/electronic-parts/integrated-circuits-ics/power-management-ics/battery-management,296261
Integrated Circuits (ICs),Power Management ICs,DC-DC Switching Controllers,6355,/electronic-parts/integrated-circuits-ics/power-management-ics/dc-dc-switching-controllers,8078
Integrated Circuits (ICs),Power Management ICs,Gate Drivers,4315,/electronic-parts/integrated-circuits-ics/power-management-ics/gate-drivers,12765
Integrated Circuits (ICs),Power Management ICs,Hot Swap Controllers,4311,/electronic-parts/integrated-circuits-ics/power-management-ics/hot-swap-controllers,3360
Integrated Circuits (ICs),Power Management ICs,LDO Voltage Regulators,6343,/electronic-parts/integrated-circuits-ics/power-management-ics/ldo-voltage-regulators,90955
Integrated Circuits (ICs),Power Management ICs,LED Drivers,5053,/electronic-parts/integrated-circuits-ics/power-management-ics/led-drivers,9532
Integrated Circuits (ICs),Power Management ICs,Motor Drivers,5052,/electronic-parts/integrated-circuits-ics/power-management-ics/motor-drivers,5423
Integrated Circuits (ICs),Power Management ICs,Power Factor Correction (PFC) Controllers,6357,/electronic-parts/integrated-circuits-ics/power-management-ics/power-factor-correction-pfc-controllers,1263
Integrated Circuits (ICs),Power Management ICs,Power Management - Specialized,6345,/electronic-parts/integrated-circuits-ics/power-management-ics/power-management-specialized,10009
Integrated Circuits (ICs),Power Management ICs,Power Over Ethernet (PoE) Controllers,6396,/electronic-parts/integrated-circuits-ics/power-management-ics/power-over-ethernet-poe-controllers,1330
Integrated Circuits (ICs),Power Management ICs,Power Switch ICs - Power Distribution,6346,/electronic-parts/integrated-circuits-ics/power-management-ics/power-switch-ics-power-distribution,8055
Integrated Circuits (ICs),Power Management ICs,Voltage References,4309,/electronic-parts/integrated-circuits-ics/power-management-ics/voltage-references,13508
Integrated Circuits (ICs),Power Management ICs,Voltage Regulators - Linear,4320,/electronic-parts/integrated-circuits-ics/power-management-ics/voltage-regulators-linear,21095
Integrated Circuits (ICs),Power Management ICs,Voltage Regulators - Switching,4312,/electronic-parts/integrated-circuits-ics/power-management-ics/voltage-regulators-switching,79340
Integrated Circuits (ICs),Power Management ICs,Voltage Supervisors,4318,/electronic-parts/integrated-circuits-ics/power-management-ics/voltage-supervisors,89041
Integrated Circuits (ICs),RF Semiconductors and Devices,,4321,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices,160668
Integrated Circuits (ICs),RF Semiconductors and Devices,CATV Amplifiers,6371,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/catv-amplifiers,198
Integrated Circuits (ICs),RF Semiconductors and Devices,NFC / RFID Components,6370,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/nfc-rfid-components,56200
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Amplifiers,4325,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-amplifiers,22038
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Antennas,4326,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-antennas,21071
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Attenuators,6348,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-attenuators,9517
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Mixers,6338,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-mixers,552
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Multiplexers,6469,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-multiplexers,1820
Integrated Circuits (ICs),RF Semiconductors and Devices,"RF Receivers, Transceivers",6298,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-receivers-transceivers,10236
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Switches,6369,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-switches,15790
Integrated Circuits (ICs),RF Semiconductors and Devices,RF Transceiver Modules and Modems,6400,/electronic-parts/integrated-circuits-ics/rf-semiconductors-and-devices/rf-transceiver-modules-and-modems,6890
Machining,,,5706,/electronic-parts/machining,1058587
Machining,Indexable Inserts,,5710,/electronic-parts/machining/indexable-inserts,60886
Machining,Indexable Inserts,Milling Inserts,5719,/electronic-parts/machining/indexable-inserts/milling-inserts,11979
Machining,Indexable Inserts,Parting and Grooving Inserts,5718,/electronic-parts/machining/indexable-inserts/parting-and-grooving-inserts,2415
Machining,Indexable Inserts,Threading Inserts,5729,/electronic-parts/machining/indexable-inserts/threading-inserts,6943
Machining,Indexable Inserts,Turning Inserts,5711,/electronic-parts/machining/indexable-inserts/turning-inserts,37989
Machining,Indexable Tools,,5752,/electronic-parts/machining/indexable-tools,104159
Machining,Machine Cutting Tools,,5714,/electronic-parts/machining/machine-cutting-tools,369299
Machining,Machine Cutting Tools,Countersinks and Center Reamers,5727,/electronic-parts/machining/machine-cutting-tools/countersinks-and-center-reamers,1593
Machining,Machine Cutting Tools,Grooving Tools,5732,/electronic-parts/machining/machine-cutting-tools/grooving-tools,1098
Machining,Machine Cutting Tools,Jobber Length Drill Bits,5716,/electronic-parts/machining/machine-cutting-tools/jobber-length-drill-bits,14172
Machining,Machine Cutting Tools,Routing End Mills,5726,/electronic-parts/machining/machine-cutting-tools/routing-end-mills,1158
Machining,Machine Cutting Tools,Screw Machine Length Drill Bits,5720,/electronic-parts/machining/machine-cutting-tools/screw-machine-length-drill-bits,5643
Machining,Machine Cutting Tools,Solid Boring Bars,5722,/electronic-parts/machining/machine-cutting-tools/solid-boring-bars,1726
Machining,Machine Cutting Tools,Taper Length Drill Bits,5819,/electronic-parts/machining/machine-cutting-tools/taper-length-drill-bits,1765
Machining,Machine Cutting Tools,Taps,5715,/electronic-parts/machining/machine-cutting-tools/taps,54466
Machining,Machine Cutting Tools,Thread Mills,5735,/electronic-parts/machining/machine-cutting-tools/thread-mills,5829
Machining,Machine Fluids,,5757,/electronic-parts/machining/machine-fluids,170
Machining,Machine Tool Accessories,,5707,/electronic-parts/machining/machine-tool-accessories,27320
Machining,Machine Tool Accessories,Collets,5721,/electronic-parts/machining/machine-tool-accessories/collets,8120
Machining,Machine Tool Accessories,Drill Bushings,5708,/electronic-parts/machining/machine-tool-accessories/drill-bushings,9635
Machining,Machine Tool Accessories,Hand Knobs and Wheels,5741,/electronic-parts/machining/machine-tool-accessories/hand-knobs-and-wheels,4560
Machining,Machinery,,5758,/electronic-parts/machining/machinery,173
Optoelectronics,,,4408,/electronic-parts/optoelectronics,493393
Optoelectronics,Displays,,4986,/electronic-parts/optoelectronics/displays,10273
Optoelectronics,Displays,"LCD, OLED, Graphic Displays",4987,/electronic-parts/optoelectronics/displays/lcd-oled-graphic-displays,5374
Optoelectronics,Displays,LED Displays,5700,/electronic-parts/optoelectronics/displays/led-displays,4552
Optoelectronics,Fiber Optics,,4495,/electronic-parts/optoelectronics/fiber-optics,17648
Optoelectronics,Lamps,,4444,/electronic-parts/optoelectronics/lamps,1510
Optoelectronics,Laser Products,,4450,/electronic-parts/optoelectronics/laser-products,1105
Optoelectronics,Laser Products,Laser Drivers,6391,/electronic-parts/optoelectronics/laser-products/laser-drivers,658
Optoelectronics,LEDs,,4409,/electronic-parts/optoelectronics/leds,235331
Optoelectronics,LEDs,Light Pipes,6467,/electronic-parts/optoelectronics/leds/light-pipes,40770
Optoelectronics,Optocouplers,,4493,/electronic-parts/optoelectronics/optocouplers,18008
Passive Components,,,4165,/electronic-parts/passive-components,13788460
Passive Components,Capacitors,,4166,/electronic-parts/passive-components/capacitors,3503104
Passive Components,Capacitors,Aluminum Electrolytic Capacitors,6331,/electronic-parts/passive-components/capacitors/aluminum-electrolytic-capacitors,274296
